iter	Passed	Remaining
0	59	59476
1	59	29827
2	60	19942
3	60	15002
4	60	12038
5	60	10074
6	61	8662
7	61	7598
8	61	6771
9	61	6111
10	61	5571
11	62	5120
12	62	4739
13	62	4411
14	62	4127
15	63	3878
16	63	3659
17	63	3463
18	63	3288
19	63	3132
20	64	2989
21	64	2860
22	64	2743
23	64	2634
24	65	2536
25	65	2443
26	65	2357
27	65	2277
28	65	2203
29	66	2134
30	66	2069
31	66	2008
32	66	1951
33	66	1898
34	67	1847
35	67	1800
36	67	1755
37	67	1712
38	67	1672
39	68	1633
40	68	1596
41	68	1561
42	68	1528
43	68	1496
44	69	1466
45	69	1436
46	69	1409
47	69	1382
48	69	1358
49	70	1333
50	70	1309
51	70	1286
52	70	1264
53	70	1243
54	71	1222
55	71	1203
56	71	1183
57	71	1165
58	71	1147
59	72	1130
60	72	1113
61	72	1097
62	72	1082
63	72	1066
64	73	1052
65	73	1038
66	73	1024
67	73	1010
68	73	997
69	74	984
70	74	972
71	74	960
72	74	948
73	74	937
74	75	926
75	75	915
76	75	904
77	75	894
78	75	884
79	76	874
80	76	864
81	76	855
82	76	844
83	76	836
84	76	827
85	77	819
86	77	810
87	77	802
88	77	794
89	77	787
90	78	779
91	78	772
92	78	764
93	78	757
94	78	750
95	79	743
96	79	737
97	79	730
98	79	724
99	79	717
100	79	711
101	80	705
102	80	699
103	80	694
104	80	688
105	80	683
106	81	677
107	81	672
108	81	666
109	81	661
110	81	656
111	82	651
112	82	646
113	82	641
114	82	637
115	83	632
116	83	627
117	83	622
118	83	618
119	83	614
120	83	609
121	84	605
122	84	600
123	84	596
124	84	592
125	84	588
126	84	584
127	85	580
128	85	576
129	85	573
130	85	569
131	86	565
132	86	562
133	86	558
134	86	555
135	86	551
136	87	548
137	87	544
138	87	541
139	87	538
140	87	535
141	87	531
142	88	528
143	88	524
144	88	521
145	88	518
146	88	515
147	89	516
148	90	514
149	90	512
150	90	510
151	91	509
152	91	506
153	92	506
154	93	509
155	93	506
156	94	504
157	94	502
158	94	499
159	94	497
160	94	494
161	95	491
162	95	489
163	95	486
164	95	483
165	95	481
166	96	479
167	96	476
168	96	474
169	96	471
170	96	469
171	97	467
172	97	465
173	97	462
174	97	460
175	97	458
176	98	456
177	98	453
178	98	451
179	98	449
180	98	447
181	99	445
182	99	443
183	99	441
184	99	439
